year,dir_inc,species,fishery,test_fish,ret_cat_lb,ret_cat_crabs,Fish_effort,CPUE
1990,directed,BBRKC,BBRKC,no,20443043,3135382,262761,11.93
1991,directed,BBRKC,BBRKC,no,16971365,2597994,226999,11.44
1992,directed,BBRKC,BBRKC,no,7996040,1189443,206172,5.77
1993,directed,BBRKC,BBRKC,no,14534504,2246477,254290,8.83
1994,directed,BBRKC,BBRKC,no,0,0,0,NA
1995,directed,BBRKC,BBRKC,no,0,0,0,NA
1996,directed,BBRKC,BBRKC,no,8405614,1249005,76433,16.34
1997,directed,BBRKC,BBRKC,no,8756490,1315969,90427,14.55
1998,directed,BBRKC,BBRKC,no,14814609,2215196,144953,15.28
1999,directed,BBRKC,BBRKC,no,11649987,1898249,149973,12.66
2000,directed,BBRKC,BBRKC,no,8154426,1258186,103357,12.17
2001,directed,BBRKC,BBRKC,no,8403060,1287791,66350,19.41
2002,directed,BBRKC,BBRKC,no,9570399,1484083,72237,20.54
2003,directed,BBRKC,BBRKC,no,15695786,2519343,134134,18.78
2004,directed,BBRKC,BBRKC,no,15245451,2242451,96335,23.28
2005,directed,BBRKC,BBRKC,no,18309334.55,2732563,114944,23.77
2006,directed,BBRKC,BBRKC,no,15616552,2455574,71708,34.24
2007,directed,BBRKC,BBRKC,no,20366065,3139336,113214,27.73
2008,directed,BBRKC,BBRKC,no,20329402,3066286,139937,21.91
2009,directed,BBRKC,BBRKC,no,15932653.5,2537221,118521,21.41
2010,directed,BBRKC,BBRKC,no,14833829,2398490,131627,18.22
2011,directed,BBRKC,BBRKC,no,7833594,1279054,45166,28.32
2012,directed,BBRKC,BBRKC,no,7849835,1157364,38159,30.33
2013,directed,BBRKC,BBRKC,no,8600476,1242705,45927,27.06
2014,directed,BBRKC,BBRKC,no,9987006,1498537,57060,26.26
2015,directed,BBRKC,BBRKC,no,9969964,1497783,48008,31.2
2016,directed,BBRKC,BBRKC,no,8466701,1253967,33126,37.85
2017,directed,BBRKC,BBRKC,no,6600922,964593,48242,19.99
2018,directed,BBRKC,BBRKC,no,4307946,606421,30722,19.74
2019,directed,BBRKC,BBRKC,no,3791569,531329,34458,15.42
2020,directed,BBRKC,BBRKC,no,2646874,433482,20244,21.41
2021,directed,BBRKC,BBRKC,no,0,0,0,NA
2022,directed,BBRKC,BBRKC,no,0,0,0,NA
2023,directed,BBRKC,BBRKC,no,2144108,322341,15694,20.54
