SURVEY_YEAR,ABUNDANCE_MIL
1983,9.50652365272169
1984,14.157364813344772
1985,9.489106254616619
1986,13.979159887877136
1987,11.615900798056732
1988,6.943522165750584
1989,7.387358211437631
1990,7.144095355015216
1991,5.937730699176274
1992,4.760839953919745
1993,8.745223727423113
1994,5.2547405625295935
1995,5.038570324657295
1996,3.30525665061901
1997,8.98789740125439
1998,15.168142288231472
1999,7.190206297519528
2000,6.991029686592318
2001,4.216173951161831
2002,9.060000891671503
2003,9.532283007801288
2004,13.755473844552103
2005,9.971178905932089
2006,7.012773802163818
2007,9.528685689566565
2008,15.303875242086155
2009,11.175126854739194
2010,7.5867923734718135
2011,4.7270582288750775
2012,4.4210627899891275
2013,5.641637005524028
2014,10.415529734991788
2015,4.764691818365028
2016,2.554451128131124
2017,1.8353853166408751
2018,1.6526778875360602
2019,3.221896214945569
2021,2.7316567599129935
2022,3.191694728034748
