YEAR,BB_wind,MONTH,north_bering_chl,south_bering_chl,BB_chla
1988,5.34,NA,NA,NA,NA
1989,5.47,NA,NA,NA,NA
1990,4.29,NA,NA,NA,NA
1991,5.56,NA,NA,NA,NA
1992,5.52,NA,NA,NA,NA
1993,5.49,NA,NA,NA,NA
1994,5.06,NA,NA,NA,NA
1995,4.93,NA,NA,NA,NA
1996,6.88,NA,NA,NA,NA
1997,4.25,NA,NA,NA,NA
1998,5.19,5,2.0484996,0.9056836,NA
1999,4.81,5,1.5888108,1.3210937,NA
2000,5.51,5,1.6642733,1.6256533,NA
2001,4.24,5,1.8412138,1.6068652,NA
2002,4.77,5,1.757999,1.5692265,NA
2003,5.69,5,1.8817675,1.5800278,3.125005110590982
2004,5.33,5,1.9456164,1.9175584,3.7935598537758315
2005,5.27,5,1.984269,2.0962777,2.8692352328040247
2006,5.14,5,2.6285136,1.1593533,1.9969137574201448
2007,5.36,5,1.9937772,1.6109686,2.107086712695944
2008,4.67,5,2.3060112,2.2333999,2.1950757740128357
2009,4.98,5,2.3270445,2.0043223,3.1588720947985656
2010,6.34,5,2.1480837,2.2024074,4.162513710826509
2011,7.24,5,1.8570949,1.9386663,2.9044553681653325
2012,6.02,5,2.0639768,1.7809626,2.8553109336228544
2013,5.39,5,1.7240397,1.7933309,2.9705771777305814
2014,6.77,5,1.7296591,1.6812049,4.280259725356116
2015,6.05,5,1.6531384,1.6530921,3.946380863346994
2016,5.93,5,1.3906195,1.4484148,2.3702513678722092
2017,5.59,5,1.7464465,1.2686149,1.9454539709282008
2018,6.05,5,1.4794682,1.1584253,2.1003617092067093
2019,6.58,NA,NA,NA,2.2369198467518507
2020,6.04,NA,NA,NA,2.527796898053606
2021,6.3,NA,NA,NA,2.490696415329126
